EnsemblID,GeneSym,baseMean,log2FoldChange,lfcSE,WaldStat,pvalue,padj
ENSG00000005075.11,POLR2J,250.3712252,0.291974809,0.297375092,0.981840165,0.326178598,0.586135271
ENSG00000005100.8,DHX33,1049.539344,0.229916014,0.228002393,1.008392987,0.313265838,0.57412534
ENSG00000005102.8,MEOX1,0,NA,NA,NA,NA,NA
ENSG00000005108.11,THSD7A,311.3329906,0.878165486,0.393518645,2.231572752,0.025643214,0.132041212
ENSG00000005156.7,LIG3,2470.278099,-0.611119453,0.197389772,-3.096003634,0.00196148,0.024899776
ENSG00000005175.5,RPAP3,964.191965,0.824388216,0.241304014,3.416388332,0.000634577,0.011383085
ENSG00000005187.7,ACSM3,1876.315504,0.445618085,0.22473231,1.982883923,0.047380397,0.19234706
ENSG00000005189.15,AC004381.6,1089.490309,0.276011649,0.196505109,1.404602911,0.16013939,0.398965719
ENSG00000005194.10,CIAPIN1,609.4444079,-0.352864853,0.272778721,-1.293593767,0.195805777,0.446671241
ENSG00000005206.12,SPPL2B,3612.466246,-0.168329675,0.216011169,-0.779263754,0.435824361,0.67936817
ENSG00000005238.15,FAM214B,636.6963971,0.233347854,0.194827326,1.197716245,0.231027503,0.489992384
ENSG00000005243.5,COPZ2,9.986838525,0.140932709,0.310568998,0.453788722,0.649980902,NA
ENSG00000005249.8,PRKAR2B,577.3642594,0.175874861,0.298019198,0.590146079,0.555092718,0.771078807
ENSG00000005302.13,MSL3,720.6228187,-0.150563683,0.273112343,-0.551288462,0.581435947,0.788862848
ENSG00000005339.8,CREBBP,10975.51411,-0.363031715,0.187486136,-1.936312319,0.052829461,0.20597357
ENSG00000005379.11,BZRAP1,2095.053694,-0.50005693,0.278467154,-1.795748342,0.07253455,0.247789489
ENSG00000005381.6,MPO,1141.470469,-0.041472729,0.423538051,-0.097919724,0.921996037,0.968116429
ENSG00000005421.4,PON1,0,NA,NA,NA,NA,NA
ENSG00000005436.9,GCFC2,813.3050219,-0.025558037,0.225690221,-0.113243883,0.909837206,0.963362919
ENSG00000005448.12,WDR54,401.1527759,0.078194705,0.319746457,0.244552219,0.806803165,0.915883264
ENSG00000005469.7,CROT,321.7682964,0.439928143,0.337824524,1.302238624,0.192834825,0.442263158
