gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
KLHL21,25.2612819451524,0.982249833254187,0.518260514925595,0.000761936240176281,0.0425771158229681
CENPO,13.138374792348,-1.51040400876044,0.790869654636093,0.000762697658635811,0.0425771158229681
BCKDHB,73.0347304936039,-0.704628859453064,0.32946444247775,0.000754588419258602,0.0425771158229681
RNASET2,175.339822472566,0.90163096282068,0.594786103549614,0.000762583646070163,0.0425771158229681
PAPSS2,8.13830149321939,-0.0788467896349142,0.195589543378723,0.00075461183357583,0.0425771158229681
TDRD12,12.545709413486,-0.0853159479504789,0.200116722947387,0.000764014447694375,0.0425771158229681
CDC45,11.1326002329749,-0.133167890907394,0.254690770097565,0.000754039502089561,0.0425771158229681
DOCK4,26.9110412920966,-1.42312797993152,0.952050270585201,0.00077398670126993,0.0426847317641422
TMEM203,21.8073425801942,1.12413178074358,0.899511054905501,0.000777100081768791,0.0426847317641422
TGFB1I1,23.6519066230616,1.07068162787636,0.588279318030783,0.000772088959131842,0.0426847317641422
MVP,52.3786344386708,0.881348917343699,0.547761244957693,0.000809092143174532,0.0442303704935411
GINS2,32.2739015512099,-1.17954613245098,0.763211016743613,0.000815205311415156,0.044353350592635
EXO5,18.8597173645289,-0.150935352577942,0.283217863604997,0.000832705127721554,0.0450917682369974
CSE1L,91.1657102802355,-0.572400854993756,0.240338679017902,0.000847072638969487,0.0456544314336606
MED30,84.5178256260013,-0.610178359745986,0.27521348387401,0.000864399632056978,0.0463705970841781
PPP1R13B,14.3554699138861,-0.0947082244851294,0.20840874474433,0.000881781813944597,0.0468650704818703
SDR42E1,29.4550786410129,-0.245402828998895,0.679906777868797,0.000881018357416016,0.0468650704818703
SLAMF6,8.34222269324262,0.156287853059071,0.297877592533228,0.000887001967596214,0.0469252653825094
MTRNR2L1,191.439527862294,1.17119157635157,1.37440755481,0.000918891779489842,0.0480369840803713
MATK,45.5887972047377,0.698541399758136,0.936656473473127,0.000915661525747989,0.0480369840803713
MYPOP,10.0186833499539,1.09494280525288,0.550813072635541,0.000920569381331157,0.0480369840803713
RTN1,14.0004054168475,0.110714614071016,0.222424654654602,0.000926237917036019,0.0481140782243145
LEPR,38.1293025478998,0.823394252021747,1.12642180000842,0.00095602505906584,0.0487135349942062
CXCL8,294.046930650392,0.112965244061453,0.224099030806958,0.000966770247903861,0.0487135349942062
EGFL8,11.6490397558362,0.203790424426366,0.41655606597606,0.000956640349219634,0.0487135349942062
NCAM1,16.5949648593812,-0.0889114682714872,0.203219395879828,0.000975968035598208,0.0487135349942062
SRPRA,105.387103474414,-0.69526594980125,0.364347504708053,0.000969631164980829,0.0487135349942062
UNC119B,38.3363806153302,0.934989324332565,0.511407403463508,0.000972595470199395,0.0487135349942062
SPSB3,49.0524720577055,0.87174832046465,0.417787042792613,0.00097276187150488,0.0487135349942062
ZNF423,13.8202155372378,0.0996130552617998,0.211586743259758,0.000955719399439529,0.0487135349942062
SLC16A6,5.47618371277504,0.0823141569823466,0.197989471911032,0.000952552335954062,0.0487135349942062
NBPF11,44.813436607721,0.776005614348388,0.383770804799397,0.000984013026732571,0.048902465570952
ANXA2R,34.5301462503027,0.850731765264991,0.39048603263875,0.00100148423612585,0.049556202718641
GLB1L,25.3647483628422,0.920238072138738,0.488883111388361,0.00102723367983742,0.0506122001911312
PRPF38B,281.65387927596,0.384891139526869,0.152338986135711,0.00104413363225431,0.0509626271041334
GRINA,84.3448244941684,0.6492412151694,0.295188423598514,0.0010476637627679,0.0509626271041334
UHRF1,39.2847874460396,-1.07256420814239,0.580426220442148,0.00103992358663251,0.0509626271041334
ZBTB20,735.398853251408,0.370992201141726,0.142753118225991,0.00111100568299508,0.0514288114547721
CXCL2,102.509667172299,1.11169164972406,0.5630005191649,0.00109599741223094,0.0514288114547721
ZGRF1,22.7924304236509,-0.970763394682756,1.39051770665929,0.0010984381827085,0.0514288114547721
SLC23A1,9.31484707134736,-1.61077082487941,0.834289912538985,0.00110246531986793,0.0514288114547721
TBCC,79.9097647285697,-0.674591266626249,0.321783541692635,0.00109246047831548,0.0514288114547721
GPR82,11.8876172359313,0.0734206036290245,0.191459655827075,0.0010859352142759,0.0514288114547721
UBE2A,97.523609350349,-0.477326342565652,0.193247722716386,0.00107022530779773,0.0514288114547721
MEGF11,33.4956211344457,-0.0726919101905082,0.190993515446896,0.00109641224423043,0.0514288114547721
CBFA2T3,74.6089728617858,0.551738942049247,0.230338178411789,0.00109748570629463,0.0514288114547721
SULF2,24.7792149576366,-0.116574988449021,0.232574065183658,0.00111094301605033,0.0514288114547721
HNRNPUL1,215.376405712929,0.348373995743967,0.131054651468611,0.00110275728950617,0.0514288114547721
PKNOX1,42.659228926222,0.645077596398731,0.311482597538754,0.00110742042932947,0.0514288114547721
CNRIP1,14.752651513471,-0.114781711892539,0.227921430061847,0.00116529900966842,0.0537254322529858
GPSM3,127.16638924103,0.603468736911132,0.283372506081648,0.00117744423186885,0.0538040767184439
ZNF730,12.5368184585344,-0.197126978426262,0.403414225641611,0.00117479445626987,0.0538040767184439
CYP2S1,8.1697901649272,0.0710090163588953,0.189164800075411,0.00118106509869755,0.0538040767184439
ATXN1L,26.0027105712349,-0.907027628006421,0.550136870344792,0.00120362339032101,0.0544675138969953
SAT2,113.094688122913,0.60343790663673,0.274465889353513,0.00120511746775582,0.0544675138969953
GOLT1B,58.907818376805,-0.715907587331742,0.352269326799866,0.0012267270865117,0.055226772365311
PREPL,62.3451304036183,0.686726417296745,0.364899785663339,0.00124919271062343,0.0558586432375054
ANLN,31.7208837167481,-0.0922928969001986,0.20683756495935,0.00125049401672813,0.0558586432375054
HMMR,9.98865300217768,-0.080335608305813,0.196042831630037,0.00126433447886699,0.0562579837883452
EIF4A3,83.7718245799158,0.761119128677523,0.435642895532508,0.00130716989274701,0.0579394222731108
ORC1,11.3908931450945,-1.19497512417362,0.737497908431108,0.00133375672733594,0.0585744600084612
RTCA,75.2994768163584,0.549555882863544,0.261322485807408,0.00136365927428717,0.0585744600084612
CLK1,362.395416534254,0.418884466066604,0.168690563863694,0.00134251334248516,0.0585744600084612
BLOC1S4,26.6835444628954,0.144582802205619,0.263024492987073,0.00138552091048719,0.0585744600084612
SSC4D,4.34604308241243,0.0875205970561784,0.201899029028937,0.00138120272135227,0.0585744600084612
ATP6V1B2,62.152963222255,-0.603297489610738,0.283472444022757,0.00133117398096026,0.0585744600084612
CA3,14.149788456919,-0.114203570379981,0.228545166665936,0.00138663790321003,0.0585744600084612
CD274,7.71642877259244,0.0366365561804003,0.173569979296276,0.00134890233655238,0.0585744600084612
SLFN5,20.3440066032224,0.0726410934793283,0.189506744799391,0.00136165325328387,0.0585744600084612
SMAD2,200.35408600924,-0.429967534889224,0.179360152022306,0.00137055717981084,0.0585744600084612
COMMD7,226.846410613813,0.415513148541595,0.176831735973236,0.00136362025496326,0.0585744600084612
ZNF57,8.07046679202393,0.0778548873891145,0.192951813569582,0.00138782692702974,0.0585744600084612
DERL3,11.6362570965234,-0.156170279579268,0.289700633118669,0.00137755185200342,0.0585744600084612
EDF1,460.253401332583,0.41403453718138,0.17314616879774,0.00139765659564213,0.0587732517141818
TYMS,73.1993642943619,-0.70720911107326,0.364826345850571,0.00142052817912331,0.059517020059619
CPA3,16.1728731435502,-0.114169503499073,0.226889603751209,0.00142839289184237,0.059628910539456
RPAP2,145.992617283875,0.417828521737037,0.173960968639,0.00143771316479484,0.0598005330863942
TTC33,37.6320249531688,-0.880910053727484,0.637550536765452,0.0014737563380404,0.0610784215187861
PDLIM5,96.0073994347187,-0.621547692304585,0.313746532601002,0.00151541694736262,0.0612625737811053
EMCN,167.041496026703,0.513165799947741,0.229361458065091,0.00151555496113536,0.0612625737811053
MTRR,43.6515293922539,-0.541080280638015,0.25361032674893,0.00151048654760929,0.0612625737811053
MFSD3,13.10936341471,1.02171510346254,0.883275583572413,0.00151091701132276,0.0612625737811053
COPB1,177.115586298964,-0.403218016658914,0.161309881180195,0.00149560465047264,0.0612625737811053
DNA2,18.9733058250162,-1.13194693739771,1.27361497819252,0.00150242951483069,0.0612625737811053
KCTD5,20.7203798699721,0.183039480431496,0.332632311763465,0.00148714608153276,0.0612625737811053
PLLP,11.686309438947,0.117039743211448,0.228382101309923,0.00152739940396594,0.0615247198509788
